,Dutch,Quizlet


0,geest,"*spirit*
noun: spirit, mind, ghost
De geest van de ruimte was vreemd.

The spirit of the room was strange."


1,gingen,"*used to go*
verb: go, proceed, work
Wij gingen naar de markt. - We went to the market."


2,straat,"*street*
noun: street, road, strait
De straat is geplaveid met kiezels. - The street is paved with pebbles."


3,slechts,"*only*
adverb: only, merely, but
Slechts één persoon kwam op tijd. Only one person arrived on time."


4,verkeerde,"*wrong*
adjective: wrong, incorrect, mistaken
De verkeerde kleur was gekozen - The wrong colour was chosen."


5,slaan,"*to beat*
verb: beat, hit, strike
noun: embossing
Ik sloeg de bal in het doel. - I hit the ball into the goal."


6,FBI,"*FBI*

De FBI heeft een onderzoek ingesteld. (The FBI has initiated an investigation.)"


7,afgelopen,"*last*
adjective: over, finished, done
adverb: out
De afgelopen maand was erg koud. - Last month was very cold."


8,hotel,"*hotel*
noun: hotel
Het hotel is erg mooi. - The hotel is very nice."


9,bekend,"*known*
adjective: known, recognized, noted
Deze stad is bekend om haar prachtige architectuur. - This city is known for its beautiful architecture."


10,ene,"*one*

""Ik heb ene grote hond."" - ""I have a big dog."""


11,ruimte,"*room*
noun: space, room, area
De ruimte was klein, maar het was gezellig. - The space was small, but it was cozy."


12,lange,"*long*
adjective: long, tall, prolonged
De lange weg naar huis was moeilijk. - The long way home was difficult."


13,trouwens,"*Incidentally*
adverb: moreover, besides, as a matter of fact
preposition: besides
""Trouwens, ik ben helemaal klaar voor vandaag."" - ""By the way, I'm all set for today."""


14,feest,"*party*
noun: feast, festival, fiesta
adjective: festive
Het feest was geweldig! - The party was great!"


15,vliegen,"*to fly*
verb: fly, wing, rush
De vogel vliegt hoog in de lucht. - The bird is flying high in the sky."


16,boot,"*boat*
noun: boat, ship, launch
De boot vaart op het meer. - The boat is sailing on the lake."


17,meester,"*master*
noun: master, lord, maestro
De meester heeft de leerlingen uitgelegd hoe ze de opdracht moeten maken. - The teacher explained to the students how they should complete the task."


18,doel,"*goal*
noun: purpose, goal, target
Mijn doel is om een goede baan te krijgen. - My goal is to get a good job."


19,zolang,"*so long*
conjunction: as long as, so long as
Zolang je hard werkt, zul je succesvol zijn - As long as you work hard, you will be successful."


20,regels,"*lines*
noun: rule, line, norm
De regels zijn duidelijk. - The rules are clear."


21,stomme,"*stupid*
noun: mute, dumb person
De stomme man zei geen woord. - The dumb man said no words."


22,begonnen,"*started*
verb: start, begin, commence
Ik begonnen met het lezen van het boek. - I started reading the book."


23,zak,"*bag*
noun: bag, pocket, sack
De zak lag op de grond. - The bag was lying on the ground."


24,absoluut,"*absolute*
adverb: absolutely, must needs
adjective: absolute, rank, unquestioning
""Absoluut, ik zal het doen!"" - Absolutely, I will do it!"


25,spreek,"*speak*
adjective: speaking
Ik spreek Engels. - I speak English."


26,stom,"*stupid*
adjective: stupid, dumb, mute
adverb: stupidly, vainly
De man was stom verbaasd. - The man was dumbfounded."


27,bestaat,"*consists*
verb: exist, subsist, live
Deze stad bestaat al meer dan 100 jaar. - This city has existed for more than 100 years."


28,welk,"*which*
conjunction: which
pronoun: which, what
Welk boek lees je? - Which book are you reading?"


29,gevaarlijk,"*dangerous*
adjective: dangerous, hazardous, risky
adverb: hazardous, dangerously, in danger
""Het is gevaarlijk om zonder zwemvest te zwemmen."" - It is dangerous to swim without a life jacket."


30,jawel,"*Yes*
interjection: Yes!
""Jawel, ik kom eraan!"" - ""Yes, I'm coming!"""


31,mocht,"*if*
verb: may
Mocht ik jouw hulp nodig hebben, zal ik je laten weten.

If I need your help, I will let you know."


32,goedemorgen,"*Good morning*
interjection: Good morning!
Goedemorgen! - Good morning!"


33,wilden,"*wild ones*
verb: want, like, will
""Ze wilden een nieuwe auto kopen."" - They wanted to buy a new car."


34,erger,"*worse*
adjective: worse
adverb: worse
Het kan nog erger worden. - It can get worse."


35,vreselijk,"*horrible*
adjective: terrible, horrible, dreadful
adverb: terribly, awfully, fearfully
Mijn klasgenoten vonden mijn kunstwerk vreselijk. - My classmates found my artwork terrible."


36,zodra,"*as soon*
conjunction: once, as soon as, as ever
adverb: instantly, directly
Zodra ik vrij ben, ga ik naar het strand. - As soon as I'm free, I'm going to the beach."


37,geraakt,"*touched*
adjective: resentful, peeved
adverb: resentfully
Ik ben geraakt door je verhaal. - I was touched by your story."


38,nadat,"*once*
conjunction: after, how
Nadat ik mijn huiswerk had gemaakt, ging ik naar buiten.

After I had finished my homework, I went outside."


39,vertrouw,"*trust*

Ik vertrouw hem niet. - I don't trust him."


40,kolonel,"*colonel*
noun: colonel
De kolonel was de hoogste rang in het leger. - The colonel was the highest rank in the army."


41,voelde,"*felt*
verb: feel, sense, emote
Ik voelde me verdrietig. - I felt sad."


42,kleren,"*clothes*
noun: clothes, clothing, dress
Ik heb geen kleren nodig.  - I don't need any clothes."


43,rug,"*back*
noun: back, spine, ridge
De kat heeft een zachte rug. - The cat has a soft back."


44,naast,"*next*
adjective: next, nearest, next-door
adverb: next, nigh
preposition: next to, beside, off
phrase: within an inch
Mijn huis staat naast de bakker. - My house is next to the bakery."


45,totdat,"*until*
conjunction: until, till, as far as
Totdat hij klaar was, had hij hard gewerkt. - Until he was finished, he had worked hard."


46,verliefd,"*in love*
adjective: in love, amorous, sweet
Ik ben verliefd op jou. - I'm in love with you."


47,lukt,"*succeeds*
verb: work out
Het lukt me niet om de klus te klaren. - It's not working out for me to finish the job."


48,wonen,"*living*
verb: live, dwell, reside
Ik wil in Amsterdam wonen. - I want to live in Amsterdam."


49,lieve,"*dear*
noun: dear
Lieve vrienden, bedankt voor je steun. Dear friends, thank you for your support."


50,gaten,"*holes*
noun: hole, gap, opening
De muur had gaten waardoor het licht naar binnen kwam. - The wall had holes through which the light came in."


51,raar,"*weird*
adjective: strange, funny, queer
adverb: strangely, queerly, curiously
Het is raar dat het weer zo onvoorspelbaar is. - It is strange that the weather is so unpredictable."


52,geprobeerd,"*tried*
verb: try, attempt, endeavor
Ik heb geprobeerd de oefening te begrijpen. - I tried to understand the exercise."


53,geleerd,"*learned*
adjective: learned, studied, educated
Ik heb veel geleerd van deze ervaring. - I have learned a lot from this experience."


54,erover,"*about it*

Erover praten - Let's talk about it."


55,raad,"*council*
noun: advice, council, counsel
De raad heeft het voorstel aangenomen. - The council has accepted the proposal."


56,volg,"*follow*
verb: follow, track, attend
Volg me alsjeblieft. = Please follow me."


57,verkopen,"*to sell*
verb: sell, market, auctioneer
Ik verkoop mijn auto. - I am selling my car."


58,geweldige,"*great*
adjective: immense, violent, colossal
Deze geweldige film is echt de moeite waard!
This great movie is really worth it!"


59,zover,"*as far*
adverb: so far as, so far
conjunction: so far as
Ik ben nog niet zo ver gekomen. - I haven't gotten so far yet."


60,red,"*ed*
adjective: ginger
De lucht was rood van de zonsondergang. - The sky was red from the sunset."


61,woont,"*lives*
verb: live, dwell, reside
Hij woont in Amsterdam. - He lives in Amsterdam."


62,Amerika,"*America*
noun: America
Amerika is een groot land. - America is a large country."


63,lul,"*dick*
noun: cock, prick
De lul van mijn broer is zo luidruchtig. - My brother's fool is so noisy."


64,gedacht,"*thought*
verb: think, think of, conceive
Ik heb gedacht dat het een goed idee was. - I thought it was a good idea."


65,bewijzen,"*prove*
verb: prove, evidence, show
De rechter moest bewijzen dat de verdachte schuldig was. - The judge had to prove that the suspect was guilty."


66,prijs,"*price*
noun: price, value, rate
De prijs van deze auto is erg hoog. - The price of this car is very high."


67,www,"*www*

www staat voor World Wide Web - WWW stands for World Wide Web."


68,raken,"*touch*
verb: hit, affect, catch
De bal raakte de muur. - The ball hit the wall."


69,voorstellen,"*to suggest*
verb: propose, suggest, introduce
Ik stel mezelf voor - I introduce myself"


70,vorige,"*previous*
adjective: last, previous, former
De vorige dag was het zonnig. - The previous day was sunny."


71,regel,"*rule*
noun: rule, line, norm
De regel is dat iedereen op tijd moet komen. - The rule is that everyone must arrive on time."


72,schrijven,"*to write*
verb: write, pen, scribe
noun: missive
Ik schrijf elke dag in mijn dagboek. - I write in my diary every day."


73,rot,"*rotten*
noun: rot, squad, rat
adjective: rotten, putrid, carious
De appel is rot. - The apple is rotten."


74,gebouw,"*building*
noun: building, construction, edifice
Het gebouw is heel groot. - The building is very big."


75,trekken,"*Pull*
verb: attract, draw, pull
noun: draft, hammer, draught
Ik trek me terug uit de situatie. - I am withdrawing from the situation."


76,herinneren,"*to remind*
verb: remember, remind, recollect
Ik herinner me dat ik het al eerder heb gezien. - I remember seeing it before."


77,dansen,"*dancing*
noun: dancing
verb: dance, foot
phrase: shake one's leg
Ik hou van dansen. - I love to dance."


78,gebracht,"*brought*
verb: bring, apply, carry
Hij heeft me gebracht naar mijn huis. - He brought me home."


79,meeste,"*most*

De meeste mensen zijn vriendelijk. - Most people are friendly."


80,koud,"*cold*
adjective: cold, chilly, chill
adverb: coldly, icily
Het water is koud. - The water is cold."


81,jammer,"*Shame*
adjective: unfortunate, regrettable
adverb: unfortunately, regrettably
Jammer dat je niet kon komen. - It's a shame that you couldn't come."


82,wegwezen,"*get out*
verb: piss off
phrase: take to one's heel
Wegwezen! - Get out of here!"


83,macht,"*power*
noun: power, force, might
""De macht van het geld is groot."" - ""The power of money is great."""


84,drugs,"*drugs*
noun: drug, junk
Drugs zijn verboden in Nederland. - Drugs are forbidden in the Netherlands."


85,geboren,"*born*
adjective: born, nee
Ik ben in Amsterdam geboren. - I was born in Amsterdam."


86,dragen,"*wear*
verb: wear, bear, carry
noun: bearing
Ik draag een jas - I am wearing a jacket."


87,keuze,"*choice*
noun: choice, selection, option
Mijn keuze is gemaakt. - My choice has been made."


88,gefeliciteerd,"*congratulations*
interjection: Congratulations!
Gefeliciteerd! Congratulations!"


89,situatie,"*situation*
noun: situation, circumstances, plight
De situatie is veranderd. - The situation has changed."


90,missen,"*to miss*
verb: miss, lack, spare
noun: failing
Ik mis mijn familie. - I miss my family."


91,honger,"*hungry*
noun: hunger
Ik heb honger - I am hungry."


92,betaald,"*paid*
adjective: paid, paid-in, paid-up
abbreviation: pd.
Ik heb al betaald. - I have already paid."


93,liefje,"*Darling*
noun: sweetheart, love, darling
""Liefje, ik hou van je"" - ""Sweetheart, I love you"""


94,duurt,"*takes*
verb: last, continue, endure
Het duurt twee uur. - It takes two hours."


95,schelen,"*care*
verb: differ, ail
Het scheelt me niet veel. - It doesn't make much difference to me."


96,kaart,"*card*
noun: map, card, ducket
Ik heb een kaart van Europa gekocht. - I bought a map of Europe."


97,rij,"*queue*
noun: row, queue, array
Ik rij met de auto naar mijn werk. - I drive to work in the car."


98,bal,"*ball*
noun: ball, dance, chunk
De jongen gooide de bal naar zijn vriend. - The boy threw the ball to his friend."


99,werkte,"*worked*
verb: work, operate, function
Hij werkte hard om zijn doelen te bereiken.
He worked hard to achieve his goals."


